job,hostname,n,wall_time_serial,wall_time_vectorized
64,hpc-c11-node12.unitn.it,16,0.000000,0.000000
64,hpc-c11-node12.unitn.it,32,0.000000,0.000000
64,hpc-c11-node12.unitn.it,64,0.000000,0.000000
64,hpc-c11-node12.unitn.it,128,0.000000,0.000000
64,hpc-c11-node12.unitn.it,256,0.000001,0.000041
64,hpc-c11-node12.unitn.it,512,0.000001,0.000002
64,hpc-c11-node12.unitn.it,1024,0.000003,0.000003
64,hpc-c11-node12.unitn.it,2048,0.000008,0.000006
64,hpc-c11-node12.unitn.it,4096,0.000020,0.000013
64,hpc-c11-node12.unitn.it,8192,0.000044,0.000026
64,hpc-c11-node12.unitn.it,16384,0.000083,0.000053
64,hpc-c11-node12.unitn.it,32768,0.000171,0.000115
64,hpc-c11-node12.unitn.it,65536,0.000346,0.000216
64,hpc-c11-node12.unitn.it,131072,0.000705,0.000427
64,hpc-c11-node12.unitn.it,262144,0.001419,0.000873
64,hpc-c11-node12.unitn.it,524288,0.002767,0.001769
64,hpc-c11-node12.unitn.it,1048576,0.005632,0.003487
64,hpc-c11-node12.unitn.it,2097152,0.011567,0.006921
